城市,行政區,場站名稱,經度,緯度,OSM是否捷運站,OSM是否火車站,OSM是否公車站,OSM是否學校,OSM是否公園,OSM是否商圈,OSM是否醫院,場站,場站分類來源,場站分類狀態,分類版本
新北市,三重區,二重國中,121.48047,25.06596,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,二重國小,121.47766,25.06598,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,二重埔市民活動中心,121.47492,25.06622,False,False,False,True,True,False,False,"學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,五福里(五華街),121.4939,25.08173,False,False,True,False,True,False,False,"公車站,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,仁信段平面停車場,121.49629,25.07914,False,False,True,False,True,False,True,"公車站,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,仁信段平面停車場(元信一街),121.49692,25.07791,False,False,True,False,True,False,False,"公車站,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,仁愛仁和街口,121.49569,25.07354,False,False,True,False,True,True,True,"公車站,公園,商圈,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,仁愛仁政街145巷口,121.49219,25.07949,False,False,True,False,True,False,False,"公車站,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,仁愛街112巷,121.49488,25.07486,False,False,True,False,True,False,True,"公車站,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,仁愛街422巷口,121.49026,25.08153,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,仁愛街458巷口,121.49015,25.08211,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,仁美街/三和路四段145巷口,121.48636,25.07872,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,仁義街26巷,121.49811,25.0774,False,False,True,False,True,False,False,"公車站,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,仁義街37巷元富一街口,121.5003,25.07785,False,False,True,False,True,False,False,"公車站,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三重區,信義公園,121.49875,25.0648,True,False,True,True,True,True,True,"捷運站,公車站,學校,公園,商圈,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,修德國小,121.49045,25.0653,False,False,True,True,True,True,True,"公車站,學校,公園,商圈,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三重區,修德國小(重陽路三段),121.48895,25.0662,False,False,True,True,True,True,False,"公車站,學校,公園,商圈",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
